Open time,Open,High,Low,Close,Volume
10/18/2022,1331.39,1341.73,1286.72,1310.71,572728.9189
10/19/2022,1310.71,1313.5,1280.31,1285.09,368637.5105
10/20/2022,1285.09,1310.87,1270.36,1282.57,428531.6103
10/21/2022,1282.57,1306.97,1252.65,1299.75,468076.7986
10/22/2022,1299.76,1320.2,1294.32,1313.61,221776.7007
10/23/2022,1313.62,1371.55,1299.44,1364.2,432269.46
10/24/2022,1364.19,1370.6,1324.17,1343.61,611830.797
10/25/2022,1343.61,1525.16,1334.94,1459.74,1127932.901
10/26/2022,1459.74,1594.99,1457.44,1566.1,1236044.702
10/27/2022,1566.11,1578.58,1503.2,1514.05,869454.4851
10/28/2022,1514.04,1574.9,1479.82,1554.41,858954.4425
10/29/2022,1554.4,1663.06,1547.66,1619.55,914161.0846
10/30/2022,1619.55,1640.06,1576.56,1590.44,476036.4243
10/31/2022,1590.45,1635.8,1545.43,1572.69,810334.2414
11/1/2022,1572.69,1612.92,1563.69,1578.48,527539.2965
11/2/2022,1578.47,1621.68,1502.32,1518.34,981395.3648
11/3/2022,1518.33,1559.01,1515.17,1531.01,560202.8813
11/4/2022,1531.01,1680,1528.4,1644.78,935531.4781
11/5/2022,1644.78,1666.97,1621.42,1626.98,351385.5362
11/6/2022,1626.98,1639.02,1564.39,1568.29,414863.9525
11/7/2022,1568.25,1608.04,1545.03,1568.1,642409.4494
11/8/2022,1568.09,1579.98,1233,1334.77,2339916.509
11/9/2022,1334.78,1337.16,1073.53,1102.73,2494797.936
11/10/2022,1102.73,1350,1085.93,1299.28,1975955.677
11/11/2022,1299.28,1310,1201.26,1289.28,1308087.15
11/12/2022,1289.35,1292.16,1238.7,1257.25,547772.9172
11/13/2022,1257.25,1274.23,1200.66,1221.49,547410.5304
11/14/2022,1221.5,1291.2,1171.13,1243.28,934742.0059
11/15/2022,1243.29,1291,1234.01,1253.23,632825.568
11/16/2022,1253.22,1268.67,1187.06,1216.17,673339.7215
11/17/2022,1216.16,1228.22,1181.05,1200.43,530537.3488
