Open time,Open,High,Low,Close
6/10/2023,26477.8,26533.87,25358,25841.21
6/11/2023,25841.22,26206.88,25634.7,25925.55
6/12/2023,25925.54,26106.48,25602.11,25905.19
6/13/2023,25905.2,26433.21,25712.57,25934.25
6/14/2023,25934.24,26098,24820.56,25128.6
6/15/2023,25128.6,25759.01,24800,25598.49
6/16/2023,25598.49,26518,25175.56,26345
6/17/2023,26345.01,26839.99,26181,26516.99
6/18/2023,26516.99,26700,26255.85,26339.97
6/19/2023,26339.98,27068.09,26256.61,26844.35
6/20/2023,26844.35,28402.74,26652,28307.99
6/21/2023,28308,30800,28257.99,29993.89
